OutlierMethod,RMS used,Filter Type,Filter order,low,high,
STD 2,1,Chebyshev 2,3,200,500 
CH1,CH2,CH3,CH4,CH5 
-0.043625,-0.065826,0.324188,-0.001465,0.002518
-0.214691,-0.060196,0.110779,-0.010025,0.009064
-0.359161,-0.028656,-0.371704,-0.014877,0.010437
-0.421898,-0.009979,-0.606651,-0.006409,0.008514
-0.422161,0.028244,-0.506413,-0.010757,0.008469
-0.336416,0.039001,-0.406174,0.013321,0.003662
-0.250671,0.057404,-0.094391,0.008011,-0.001831
-0.089493,0.080795,0.047195,0.003250,-0.003296
0.010483,0.094070,0.102036,0.004349,-0.001877
0.083359,0.085556,0.189972,0.006363,-0.000183
0.121399,0.041290,0.201828,0.020508,0.000916
0.173401,-0.034607,0.238174,0.033142,0.004578
0.248795,-0.077362,0.422195,0.028839,0.006546
0.214600,-0.071503,0.274429,0.004990,0.006500
0.130875,-0.028061,-0.077133,-0.013870,0.006592
-0.035294,0.003021,-0.242020,-0.009842,0.003891
-0.132111,0.011307,-0.183563,-0.007782,0.003250
-0.130005,-0.039871,-0.407455,0.001328,-0.000824
-0.037674,-0.082443,-0.425102,0.003113,-0.002426
-0.049530,-0.100662,-0.442749,0.003159,-0.002014
0.026550,-0.097321,-0.283813,0.011215,-0.001602
0.214828,-0.035522,0.090958,0.008514,-0.000549
0.338058,0.035248,0.420547,-0.001465,-0.002106
0.340027,0.094620,0.488068,-0.017487,-0.003433
0.212723,0.117279,0.358978,-0.005127,-0.002609
0.055847,0.121353,0.269989,-0.007370,-0.000961
-0.041473,0.091141,0.151520,-0.007919,0.004349
-0.179901,0.063217,0.127625,-0.008148,-0.001419
-0.298828,0.038727,0.215515,-0.021446,0.000320
-0.350327,0.016251,0.197845,-0.018253,0.002335
-0.287979,0.002426,0.207230,-0.015060,0.007141
-0.132706,-0.019730,0.242249,-0.001465,0.006363
0.017944,-0.076538,0.406036,0.002930,0.002289
0.157059,-0.119980,0.368408,0.006454,-0.001236
0.122864,-0.153168,-0.099289,0.014099,-0.000229
